Floor,Hall_No,Capacity,Exam_Capacity,Day,Time_Slot,Allocation,Start_Time,End_Time,Start_Hour,End_Hour,Duration_Hours,Day_Num,Is_Allocated,Course_Code,Group,Is_Tutorial
FOB,4,500.0,,Monday,09.00 am - 10.00 am, ,09.00 am,10.00 am,9.0,10.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,10.00 am - 11.00 am, ,10.00 am,11.00 am,10.0,11.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,11.00 am - 12.00 pm, ,11.00 am,12.00 pm,11.0,12.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,12.00 pm - 01.00 pm, ,12.00 pm,01.00 pm,12.0,13.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,01.00 pm - 02.00 pm, ,01.00 pm,02.00 pm,13.0,14.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,02.00 pm - 03.00 pm, ,02.00 pm,03.00 pm,14.0,15.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,03.00 pm - 04.00 pm, ,03.00 pm,04.00 pm,15.0,16.0,1.0,0,1,,,0
FOB,4,500.0,,Monday,04.00 pm - 05.00 pm, ,04.00 pm,05.00 pm,16.0,17.0,1.0,0,1,,,0
FOB,4,500.0,,Tuesday,09.00 am - 10.00 am, ,09.00 am,10.00 am,9.0,10.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,10.00 am - 11.00 am, ,10.00 am,11.00 am,10.0,11.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,11.00 am - 12.00 pm, ,11.00 am,12.00 pm,11.0,12.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,12.00 pm - 01.00 pm, ,12.00 pm,01.00 pm,12.0,13.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,01.00 pm - 02.00 pm, ,01.00 pm,02.00 pm,13.0,14.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,02.00 pm - 03.00 pm, ,02.00 pm,03.00 pm,14.0,15.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,03.00 pm - 04.00 pm, ,03.00 pm,04.00 pm,15.0,16.0,1.0,1,1,,,0
FOB,4,500.0,,Tuesday,04.00 pm - 05.00 pm, ,04.00 pm,05.00 pm,16.0,17.0,1.0,1,1,,,0
FOB,4,500.0,,Wednesday,09.00 am - 10.00 am, ,09.00 am,10.00 am,9.0,10.0,1.0,2,1,,,0
FOB,4,500.0,,Wednesday,10.00 am - 11.00 am, ,10.00 am,11.00 am,10.0,11.0,1.0,2,1,,,0
FOB,4,500.0,,Wednesday,11.00 am - 12.00 pm, ,11.00 am,12.00 pm,11.0,12.0,1.0,2,1,,,0
FOB,4,500.0,,Wednesday,12.00 pm - 01.00 pm, ,12.00 pm,01.00 pm,12.0,13.0,1.0,2,1,,,0
FOB,4,500.0,,Wednesday,01.00 pm - 02.00 pm,23.2 Group B,01.00 pm,02.00 pm,13.0,14.0,1.0,2,1,23.2,B,0
FOB,4,500.0,,Wednesday,02.00 pm - 03.00 pm,Available,02.00 pm,03.00 pm,14.0,15.0,1.0,2,0,,,0
